,current_state,go_in_elevator_time,go_out_elevator_time,goin_duration,goin_rollback_duration,goout_duration,robot_id,trip_id,date
174,go out elevator,2020-01-19 15:11:49.621,2020-01-19 15:12:15.669,14.823,,9.512,,27,2020-01-19 15:11:49.621
175,go out elevator,2020-01-19 15:13:54.783,2020-01-19 15:14:19.825,14.572,,11.453,,28,2020-01-19 15:13:54.783
176,go in elevator,2020-01-19 15:15:56.936,,,31.336,,,29,2020-01-19 15:15:56.936
177,go out elevator,2020-01-19 15:17:16.036,2020-01-19 15:17:41.082,14.34,,9.848,,29,2020-01-19 15:17:16.036
178,go out elevator,2020-01-19 15:19:18.203,2020-01-19 15:19:43.312,13.835,,10.707,,30,2020-01-19 15:19:18.203
179,go out elevator,2020-01-19 15:20:44.386,2020-01-19 15:21:09.532,13.865,,9.374,,31,2020-01-19 15:20:44.386
180,go out elevator,2020-01-19 15:22:32.640,2020-01-19 15:22:57.686,13.905,,11.001,,32,2020-01-19 15:22:32.640
181,go out elevator,2020-01-19 15:23:59.773,2020-01-19 15:24:24.824,14.031,,9.602,,33,2020-01-19 15:23:59.773
182,go out elevator,2020-01-19 15:25:50.914,2020-01-19 15:26:15.964,14.456,,10.954,,34,2020-01-19 15:25:50.914
183,go out elevator,2020-01-19 15:27:22.056,2020-01-19 15:27:48.102,14.914,,9.465,,35,2020-01-19 15:27:22.056
184,go out elevator,2020-01-19 15:29:30.227,2020-01-19 15:29:55.268,13.543,,11.402,,36,2020-01-19 15:29:30.227
185,go out elevator,2020-01-19 15:31:10.393,2020-01-19 15:31:36.495,15.398,,9.82,,37,2020-01-19 15:31:10.393
186,go out elevator,2020-01-19 15:33:01.590,2020-01-19 15:33:26.639,14.602,,11.31,,38,2020-01-19 15:33:01.590
187,go out elevator,2020-01-19 15:34:28.718,2020-01-19 15:34:53.762,14.232,,9.584,,39,2020-01-19 15:34:28.718
188,go out elevator,2020-01-19 15:36:48.903,2020-01-19 15:37:14.064,14.432,,10.931000000000001,,40,2020-01-19 15:36:48.903
189,go out elevator,2020-01-19 15:38:31.207,2020-01-19 15:38:56.256,14.149,,9.698,,41,2020-01-19 15:38:31.207
190,go out elevator,2020-01-19 15:40:21.347,2020-01-19 15:40:46.384,14.494,,11.907,,42,2020-01-19 15:40:21.347
191,go out elevator,2020-01-19 15:42:11.493,2020-01-19 15:42:36.536,14.226,,9.572,,43,2020-01-19 15:42:11.493
192,go out elevator,2020-01-19 15:44:03.632,2020-01-19 15:44:28.679,14.119,,11.421,,44,2020-01-19 15:44:03.632
193,go out elevator,2020-01-19 15:45:46.753,2020-01-19 15:46:12.796,14.538,,9.138,,45,2020-01-19 15:45:46.753
194,go out elevator,2020-01-19 15:47:28.892,2020-01-19 15:47:50.931,14.65,,9.599,,46,2020-01-19 15:47:28.892
195,go out elevator,2020-01-19 15:49:17.407,2020-01-19 15:49:41.448,13.64,,9.55,,47,2020-01-19 15:49:17.407
196,go in elevator,2020-01-19 15:51:10.530,,,4.19,,,48,2020-01-19 15:51:10.530
197,go out elevator,2020-01-19 15:52:32.627,2020-01-19 15:53:15.690,13.336,,10.098,,48,2020-01-19 15:52:32.627
198,go out elevator,2020-01-19 15:54:38.777,2020-01-19 15:55:03.820,14.831,,10.267,,49,2020-01-19 15:54:38.777
199,go out elevator,2020-01-19 15:56:53.918,2020-01-19 15:57:18.958,14.557,,9.707,,50,2020-01-19 15:56:53.918
